A lot	ᏥᏍᏈᏍᏓ	[tsgwisda] /rrd/
Phaseolus lunatus	ᏚᏯᏁᏆ	[tuːyaneːgwa] /rrd/
Pheasant	ᏛᏗᏍᏗ	[tvːdisdi] /rrd/
Pheucticus ludovicianus	ᎦᏴᏍᏆᎴᏅ	[gayvːsgwaleːnv] /rrd/
Photograph	ᏗᏥᎶᏍᏓᏅᎯ	[ditsilosdanvːhi] /rrd/
Photographer	ᏗᏓᏥᎶᏍᏗᏍᎩ	[didatsiːloːsdiːsgi] /rrd/
Physalis spp	ᎤᏅᏚᎯᏍᏓ	[unvːduhiːsda] /rrd/
Phytolacca americana	ᏣᏱᎦ	[tsaːhyiga] /rrd/
Picea rubra	ᏃᏥ ᎢᏳᏍᏗ	[noːtsi iyusdi] /rrd/
Picking it	ᎠᏱᎠ	[ayíːʔa] (something long) up from the ground /rrd/
Picking it up	ᎦᏁᎩᎠ	[ganeːgíʔa] (a liquid) /rrd/
Picking it up	ᎠᏓᎾᎩᎠ	[aːdáːnagíʔa] (something alive) /rrd/
Picking it up	ᎦᏁᎠ	[ganeʔa] (something flexible) /rrd/
Picking it up	ᎠᏯ	[ayʔa] (something long) /rrd/
Picking it up	ᎠᎩᎠ	[agíːʔa] (something solid) /rrd/
Picking it up from the ground	ᎦᎾᎩᎠ	[ganagiʔa] (something alive) /rrd/
Picking it up from the ground	ᎦᎾᎩᎠ	[ganagiʔa] (something flexible) /rrd/
Picking it up from the ground	ᎫᏔᎩᎠ	[guʔtagiʔa] (something solid) /rrd/
Picking on him	ᎠᎵᏌᎵᎭ	[ahlsaliha] /rrd/
Pickling	ᏕᎦᎾᏦᏍᏗᎭ	[deːgaːntsoːsdiːha] /rrd/
Picture	ᏗᏥᎶᏍᏓᏅᎯ	[ditsilosdanvːhi] /rrd/
Pie	ᎨᎵᏥᎩ	[geːliːdsgi] /rrd/
Pig	ᏏᏆ	[sikwa] /rrd/
Pigeon grapes	ᏆᎷᏏ	[kwalúsi] /rrd/
Pigeon hawk	ᏌᎾᏩ	[saːnawa] /rrd/
Pileated woodpecker	ᎨᏉᎬ	[geʔgwoːgv] /rrd/
Pillow	ᎤᎦᏍᏙᎯ	[uːhksdohi] (his) /rrd/
Pillow case	ᎠᏈᏍᏙᎯ ᎦᎸᏙᏗ	[ahksdohi galvːdohdi] /rrd/
Pin	ᏴᎩ	[yvːgi] /rrd/
Pinching him	ᎠᏇᏄᎩᎠ	[agwenuːgiʔa] /rrd/
Pine lizard	ᏔᏳᎭᎵ	[tayuːhaːli] /rrd/
Pine tree	ᏃᏥ	[noːtsi] (all varieties) /rrd/
Pink	ᎩᎦᎨ ᎤᏍᎪᎸᎢ	[gigage usgoːlvʔi] /rrd/
Pinus spp	ᏃᏥ	[noːtsi] /rrd/
Pinus Strobus L	ᏙᏥ	[doʔtsi] /rrd/
Pipe used for smoking	ᎦᏅᏃᏩ	[ganvːnowa] /rrd/
Pipilo erythrophthalmus	ᏧᏬᏍᎦ	[tsuwoːsga] /rrd/
Piranga olivacea	ᏦᎳ	[tsoːhla] /rrd/
Pistol	ᏍᏆᏔ ᎦᎶᏇᎯ	[sgwala galoːgwehi] (gun) /rrd/
Pitcher	ᏧᏕᎩ	[tsudeːgi] (baseball) /rrd/
Pitchfork	ᏴᎩ	[yvːgi] /rrd/
Pituophis catenifer sayi	ᎢᎾᏓ ᏐᎸᎨᎢ	[iːnada solvgeʔi] /rrd/
Place for receiving	ᎤᎷᎯᏗ	[uːʔluhihsdi] /rrd/
Place of work	ᏗᎦᎸᏫᏍᏓᏁᏗ	[digalvːhwisdandi] /rrd/
Place to look	ᎤᏍᏗᏳ	[uːsdiːyu] (his) /rrd/
Placing	ᏓᏁᎦ	[daːneːga] (solid) things in a row /rrd/
Placing flexible things into a row	ᏓᏅᏁᎦ	[daːnvneːga] /rrd/
Placing it into a fire	ᎬᏔᏍᎦ	[gvːtǎːhsga] (something solid) /rrd/
Placing it on a raised surface	ᎦᎾᎥᏍᎦ	[ganaʔvːsga] (something alive) /rrd/
Placing it on a table, chair, shelf	ᎦᎾᎥᏍᎦ	[ganaʔvːsga] (something alive) /rrd/
Placing it on the ground	ᎦᏅᎥᏍᎦ	[ganv́ʔvːhsga] (something alive) /rrd/
Placing it on the ground	ᎦᏅᎥᏍᎦ	[ganv́ʔvːhsga] (something flexible) /rrd/
Placing it on the ground	ᎠᏗᎠ	[aʔdiʔa] (something long) /rrd/
Placing it on the ground	ᎠᎲᏍᎦ	[ahvhsga] (something solid) /rrd/
Placing living things in a row	ᏓᎧᏁᎦ	[daːkanega] /rrd/
Placing long things into a row	ᏓᏕᎦ	[daːdeːga] /rrd/
Plaid	ᎤᎾᎶᎢᏓ	[unaloʔida] /rrd/
Planning	ᎠᏓᏅᏖᎭ	[adahnteha] /rrd/
Plantago lanceolata	ᎪᏍᏓᏂᏍᏗ	[goːsdáːnisdi] /rrd/
Plantago major	ᎾᎾ ᎤᏕᏱᏘ	[naːn udeːhyti] /rrd/
Plantain, broadleaf	ᎾᎾ ᎤᏕᏱᏘ	[naːn udeːhyti] /rrd/
Planting	ᎠᏫᏍᎦ	[ahwíhsga] /rrd/
Planting seeds	ᏓᏫᏍᎦ	[daːwiːsga] /rrd/
Platanthera ciliaris	ᎠᏣᏗ ᎠᏂᏆᏔ	[atsaːdi aniːgwaːta] /rrd/
Platanus occidentalis	ᎫᏫᏳᎦᏍᏗ	[kuːhwiːyugsdi] /rrd/
Plate	ᎠᏖᎵᏙ	[ahteːliːdo] /rrd/
Plate	ᎦᏄᎯᎵᏗ	[ganuhiːhldi] /rrd/
Playing a game	ᏓᏁᎶᎲᏍᎦ	[daʔneːloːhvːsga] /rrd/
Playing ball	ᎠᏁᏦᎥᏍᎦ	[ahneːtsoːʔvhsga] /rrd/
Playing cards	ᎠᏆᎾᏲᎯᎭ	[aːhkwanayóhiha] /rrd/
Playing marbles	ᎦᏓᏲᎯᎭ	[gadáːyoːhiha] /rrd/
Playing music	ᎧᏃᎩᏍᏗᎭ	[kanoːgiːsdiha] /rrd/
Playing with	ᏓᏁᎶᏗᎭ	[daʔnéhldiha] /rrd/
Plowing	ᎦᏓᎷᎩᎠ	[gaːdalúːgiʔa] /rrd/
Plucking a bird	ᎫᏯᎩᎠ	[guyagiʔa] /rrd/
Plugging it in	ᎫᏓᎸᎥᏍᎦ	[guːdaːlvʔvsga] /rrd/
Plum	ᏆᏄᎾᏍᏗᎢ	[gwanuːnsdiʔi] /rrd/
Pneumonia	ᎤᏍᎦᏎᏗ ᎤᏗᎴᎩ	[uhsgaseːd udileːgi] /rrd/
Pocket	ᎭᏦᏩᏛ	[hatsoːwadv] /rrd/
Pocket knife	ᎤᏍᏗ ᎭᏰᎳᏍᏗ	[uhsdi hayeːlahsdi] /rrd/
Podophyllum peltatum	ᎤᏂᏍᏇᏚᎦ	[unisgweːduːga] /rrd/
Poecile carolinensis	ᏥᎩᎵᎵ	[tsigiliːli] /rrd/
Pointing at him	ᎠᏎᎯᎭ	[ahséhiha] /rrd/
Pointing for him	ᎠᏎᎮᎭ	[ahséheha] /rrd/
Poison ivy	ᎤᎸᏗ	[uːlvːdʔi] /rrd/
Poison oak	ᎤᎸᏗ	[uːlvːdʔi] /rrd/
Poke	ᏣᏱᎦ	[tsaːhyiga] /rrd/
Poke salad	ᏣᏱᎦ	[tsaːhyiga] /rrd/
Pokeweed	ᏣᏱᎦ	[tsaːhyiga] /rrd/
Policeman	ᏗᏓᏂᏥᏍᎩ	[didaːhnitsisgi] /rrd/
Pollywog	ᏗᎩᏥ	[digitsi] /rrd/
Polygonatum biflorum	ᎤᎦᎾᏍᏗ	[uganasdi] /rrd/
Pond	ᎠᎹ ᎠᏍᏛᎯᏍᏛ	[am aːsdvhiːsdv] /rrd/
Poor	ᎤᎴᏐᏓ	[uːlehsoːda] /rrd/
Popcorn	ᎠᎾᏔᏍᎩᏍᎩ	[antaːsgiːsgi] /rrd/
Popping	ᎠᏔᏍᎩᎠ	[atásgiʔa] /rrd/
Popping it	ᎠᏔᏍᎩᏍᏗᎭ	[ataːsgisdiha] /rrd/
Populus sect.  Tacamahaca	ᎾᎨᎢ	[nageʔi] /rrd/
Populus spp	ᎠᏓ ᎬᏂᎯᏛ	[aʔda gvnihiːdv] /rrd/
Porch	ᏙᏱᏨᎯ ᎠᏲᏓᏒᎢ	[doːyiːtsvhi ayodasvʔi] /rrd/
Portion	ᎠᏯᏙᎸᎢ	[ayaːdohlvʔi] /rrd/
Possession	ᎤᏤᎵ	[uːtseːli] /rrd/
Possum grapes	ᎨᎳᏗ	[keːladi] /rrd/
Post	ᏗᎨᏛᏍᏗ	[digeːdvːsdi] /rrd/
Post oak	ᏧᏍᎪ	[tsuːsgo] /rrd/
Postage stamp	ᎦᏯᎸᏗ	[gaːyalvːdi] /rrd/
Pot scrapings	ᎤᏣᎳ	[uːtsala] /rrd/
Potato	ᏄᎾ	[nuːna] (es) /rrd/
Pottery	ᎥᎾᏘ	[vːnti] /rrd/
Pounding block	ᎧᏃᏅ	[kanoːnv] /rrd/
Pounding it	ᎠᏍᏙᎠ	[ahsdoːʔa] /rrd/
Pouring it	ᎠᏨᎥᏍᎦ	[aʔtsvʔvhsga] /rrd/
Pouring it out	ᎠᏨᎥᏍᎦ	[atsv́ʔvːsga] (something liquid) /rrd/
Pouting	ᎠᎵᏲᏪᏗᎭ	[ahliyoːwéhdiha] /rrd/
Praying	ᎠᏓᏙᎵᏍᏗᎭ	[adadoːliːsdiha] /rrd/
Preacher	ᎠᎵᏥᏙᎲᏍᎩ	[ahltsidohvʔsgi] /rrd/
Preaching	ᎠᎵᏥᏙᎲᏍᎦ	[ahltsdóhvhsga] /rrd/
Pregnant	ᎦᏁᎳᏗ	[ganelaːdi] /rrd/
Preserving it	ᎠᎧᏲᏗᎭ	[ahkahyóhdiha] /rrd/
Preserving it	ᎦᎶᏔᏅᎥᏍᎦ	[gahlohtanv́ʔvːsga] /rrd/
Prettier	ᏫᏥᏄᏬᏚᎭ	[witsiːnuːwoːduha] /rrd/
Prettiest	ᏫᏥᏄᏬᏚᎭ	[witsiːnuːwoːduha] /rrd/
Pretty	ᎤᏬᏚᎭ	[uːwoːduha] /rrd/
Pretty	ᎤᏬᏚᎯ	[uwoːdúhi] /rrd/
Pricking it	ᎠᏣᏲᎵᎭ	[degatsayóhliha] /rrd/
Prize	ᎠᏓᎪᎾᏙᏗ	[adagoːnadoʔdi] /rrd/
Probably	ᎠᏎᏃ	[ahseːhno] /rrd/
Process of lying down	ᎦᏅᎦ	[gahnv́ga] (in the) /rrd/
Procyon lotor	ᎬᎲᎵ	[gvːhvli] /rrd/
Progne subis	ᏧᏧ	[tsuːtsu] /rrd/
Pronunciation	ᎢᎪᏪᏍᏗ	[iːgoweːsdi] /rrd/
Proper	ᏚᏳᎦᏔ	[duyuːkta] /rrd/
Pruning a tree	ᏕᎬᎾᎦᎳᏬᎠ	[deːgvːnagalawoʔa] /rrd/
Prunus domestica	ᏆᏄᎾᏍᏗᎢ	[gwanuːnsdiʔi] /rrd/
Prunus pensylvanica	ᏔᏯ ᎢᎾᎨᎢ	[taːya inageʔi] /rrd/
Prunus persica	ᏆᎾ	[kwaːna] /rrd/
Prunus spp	ᏔᏯ	[taːya] /rrd/
Pseudacris Sp	ᏚᏍᏚ	[duːsdu] /rrd/
Pseudognaphalium obtusifolium	ᎪᏍᏗᏳᏍᏗ	[kosdiːyusdi] /rrd/
Puddle	ᎦᏁᎲᎢ	[ganehvʔi] /rrd/
Puffball	ᏃᏈᏏ ᎤᏍᏗ	[noːkwisi uːsdi] (fungus) /rrd/
Pull	ᎯᎵᏍᏛᏬᏨ	[hiːlsdvwoːtsv] (corn fodder or blades) /rrd/
Pulling corn blades	ᎠᎳᏍᏚᏬᎠ	[ahlsdúwoːʔa] /rrd/
Pulling leaves off of a tree	ᎠᎵᏍᏚᎩᎠ	[ahlsdugiːʔa] /rrd/
Pulling rocks from the ground	ᏓᎬᏓᎳᎩᎠ	[daːkvːdalagíʔa] /rrd/
Pulling up weeds	ᎨᏄᎩᎠ	[genuːgiʔa] /rrd/
Pulling up weeds	ᎬᏄᏯᎩᎠ	[gvːnuːyagiʔa] /rrd/
Puma concolor	ᏨᏓᏥ	[tsvːdatsi] /rrd/
Pumpkin	ᎢᏯ	[iːya] /rrd/
Purple	ᏕᎷᎨ	[deːhluge] /rrd/
Purple finch	ᎤᏦᏁᏗ	[utsoːneːdi] /rrd/
Purple martin	ᏧᏧ	[tsuːtsu] /rrd/
Purple passionflower	ᎤᏩᎦ	[uːwaga] /rrd/
Pus	ᎠᏔᏍᎩᏍᎬᎢ	[ahtasgiːsgvʔi] /rrd/
Pushing it	ᎠᏌᏙᏯᏍᎦ	[ashadóyhsga] /rrd/
Pushing it	ᎧᏅᎠ	[kanvːʔa] (flexible) aside /rrd/
Pushing it aside	ᎠᎧᎲᎠ	[akahvːʔa] (something alive) /rrd/
Pushing it aside	ᎠᏏᏴᎠ	[ahsíːyvʔa] (something long) /rrd/
Pushing it aside	ᎠᏌᎲᎠ	[ahsahvːʔa] (something solid) /rrd/
Pussywillow	ᏗᎵᎦᎵᏍᎩ	[diːligalisgi] /rrd/
Putting a ribbon in his hair	ᎠᏇᎷᏍᎦ	[aːgweːluhsga] /rrd/
Putting it	ᏕᎬᏍᎦ	[deːgvːhsga] (something flexible) into a liquid /rrd/
Putting it	ᎦᎳᏗᎠ	[galdiʔa] (something long) into a container /rrd/
Putting it into a container	ᎠᏥᎠ	[atsíʔa] (something liquid) /rrd/
Putting it into a container	ᎦᎳᏍᎦ	[gaːhlaːsga] (something solid) /rrd/
Putting it into a fire	ᎠᎲᏔᏍᎦ	[ahvːtáhsga] (something long) /rrd/
Putting it into a liquid	ᎠᏥᎠ	[atsiʔa] (something liquid) /rrd/
Putting it into a liquid	ᎠᎱᏗᎠ	[ahuːdiʔa] (something long) /rrd/
Putting it into a liquid	ᎫᎲᏍᎦ	[guːhvsga] (something solid) /rrd/
Putting it into something	ᎦᎸᎥᏍᎦ	[galvʔvːsga] (something alive) /rrd/
Putting it into something	ᎦᎸᎥᏍᎦ	[galvʔvːsga] (something flexible) /rrd/
Putting it on his shoulder	ᎦᏃᏒᎥᏍᎦ	[ganoːsvʔvːsga] /rrd/
Putting it up	ᎠᏒᎥᏍᎦ	[ahsv́ːvhsga] (something flexible) /rrd/
Putting it up on a raised surface or shelf	ᎠᏌᎲᏍᎦ	[ahsahv́hsga] (something solid) /rrd/
Putting it up.	ᎠᏌᏗᎠ	[ahsáʔdiʔa] (something long) /rrd/
Putting on a hat	ᎠᎵᏍᏇᏚᏍᎦ	[alsgwéːtuhsga] /rrd/
Putting on pants	ᎠᏑᎵᎠ	[ahsuːliʔa] /rrd/
Putting on shoes	ᏓᎳᏑᎳᏍᎦ	[daːlásuːhlaːsga] /rrd/
Putting on socks	ᏓᎵᏲᎭ	[daːliːhyoːha] /rrd/
Putting out, extinguishing a fire	ᎬᏓᎵᏗᎠ	[gvdáʔldiʔa] /rrd/
Putting something into a group	ᎨᎳᏗᎠ	[géhladiʔa] /rrd/
Putting up a wire	ᎠᏏᎳᏛᎥᏍᎦ	[asiladvːʔvhsga] /rrd/
Putting, placing it	ᎬᏛᎥᏍᎦ	[gvːhdv́ʔvːsga] (something flexible) into a fire /rrd/
Pyrus communis	ᏎᏗᏳᏍᏗ	[seːdiyusdi] /rrd/
Quail	ᎤᎫᏇᎯ	[ukgweːhi] /rrd/
Quakers	ᎠᏂᏇᎩ	[aniːkweːgi] /rrd/
Quartz crystal	ᎤᎸᏌᏘ	[uːlvhsati] /rrd/
Queen of the meadow	ᎠᎹ ᎠᏗᏙᏗ	[am aditoːdi] /rrd/
Quercus falcata	ᎫᎴᏧᎾᏍᏗ	[guːletsuːnsdi] /rrd/
Quercus L	ᏔᎳ	[tala] /rrd/
Quercus nigra	ᏙᎳᏥ	[doːlatsi] /rrd/
Quercus spp	ᎠᏓᏯᎯ	[adayahi] /rrd/
Quercus stellata	ᏧᏍᎪ	[tsuːsgo] /rrd/
Quercus velutina	ᏗᎬᏂᎨᎢ	[digvnigeʔi] /rrd/
Quick	ᎤᎵᏍᏓ	[uhlihsda] /rrd/
Quick	ᎦᏨᏄᎳ	[gaːtsvnuːla] /rrd/
Quiet	ᎡᎶᏪᎯ	[eːloweːhi] /rrd/
Quilt	ᎠᏰᎧᎵ	[ayehgahli] /rrd/
Quilt top	ᎠᎬᎭᎴᏫᏓ	[agvhaleːwida] /rrd/
Quitting	ᎠᏲᎯᏍᏗᎭ	[ayohiːsdiha] /rrd/
Rabbit	ᏥᏍᏚ	[tsisdu] /rrd/
Rabbit tobacco	ᎪᏍᏗᏳᏍᏗ	[kosdiːyusdi] /rrd/
Rabbit's tail	ᏥᏍᏚ ᏍᎩᏓᏘ	[tsiːsdu sgiːdati] /rrd/
Raccoon	ᎬᎲᎵ	[gvːhvli] /rrd/
Racing	ᎠᎵᏙᎩᏱᎠ	[ahltogiːyiʔa] /rrd/
Radio	ᎧᏃᎩᏍᏗ	[kanoːgiːsdi] /rrd/
Ragweed	ᎤᏆᏍᏓᎷᏱᏓ	[ugwasdaːluhyda] /rrd/
Railroad train	ᎠᏥᎳ ᏓᏆᎴᎷ	[atsiːla dagwaleːlu] /rrd/
Rain	ᎠᎦᏍᎩ	[aːgahsgi] /rrd/
Rain crow	ᏓᎶᎬ	[daloːgv] /rrd/
Rain raven	ᏓᎶᎬ	[daloːgv] /rrd/
Rainbow	ᎤᏅᎪᎳᏛ	[uhnvgolaːdv] /rrd/
Rainbow trout	ᏧᏂᎶᎸᏗ	[tsuːniːloːhldi] /rrd/
Raising	ᎠᏛᎯᏍᏗᎭ	[atvhíhsdiha] /rrd/
Raising an arm	ᎠᏐᎸᏔᏍᎦ	[ahsoːlvːtáhsga] /rrd/
Raising children	ᏓᏛᎯᏍᏗᎭ	[daːtvːhisdiha] /rrd/
Raising it	ᎠᏌᎳᏓ	[ahsalaːdʔa] /rrd/
Ramps	ᎤᏩᏍᏗ	[uwahsdi] (plant) /rrd/
Rana catesbeiana	ᎧᏄᏄ	[kanuːnu] /rrd/
Rapids	ᎪᎵᏍᏓᏴᎢ	[golisdaːyvʔi] /rrd/
Raspberries	ᏒᏗᏩᎵ	[svːdiwaʔli] /rrd/
Rat	ᏥᏍᏕᏥ	[tsiːsdeːtsi] /rrd/
Rattle	ᎦᎾᏤᏗ	[gantseːhdi] /rrd/
Rattle wrapped around the leg	ᎤᏅᏌᏗ	[uːnvsaːdi] /rrd/
Rattlesnake fern	ᎤᏎᎳᏘ	[uːselaːti] /rrd/
Rattus spp	ᏥᏍᏕᏥ	[tsiːsdeːtsi] /rrd/
Raven	ᎪᎸᏅ	[koːlvnv] /rrd/
Raven mocker	ᎪᎸᏅ ᎠᏰᎵᏍᎩ	[koːlvnv aːhyeːliːsgi] /rrd/
Raven's Place	ᎪᎸᏅᏱ	[koːlvnvːyi] (Big Cove) /rrd/
Raw	ᎠᎪᏍᏗ	[agoːsdi] /rrd/
Razor	ᎠᎵᏍᏙᏰᏙᏗ	[ahlsdohydohdi] /rrd/
Reading it	ᎠᎪᎵᏰᎠ	[agoːlíːyeʔa] /rrd/
Rearing	ᎠᏛᎯᏍᏗᎭ	[atvhíhsdiha] (a child) /rrd/
Rearing them	ᏓᏛᎯᏍᏗᎭ	[daːtvːhisdiha] /rrd/
Receding	ᎦᏅᏬᏍᎦ	[ganvːwoːsga] /rrd/
Receiving	ᏓᏓᏂᎸᎦ	[daːdaníːlvːga] /rrd/
Receiving a vaccine	ᏓᏓᏄᎪᏍᎦ	[daːdaːhnuːgǒːhsga] /rrd/
Receiving place	ᎤᎷᎯᏗ	[uːʔluhihsdi] /rrd/
Recognizing it	ᎪᎵᎦ	[goːlhga] /rrd/
Red	ᎩᎦᎨᎢ	[gigageʔi] (color) /rrd/
Red bird	ᏙᏧᏩ	[toːtsuːwa] /rrd/
Red buckeye	ᎤᏍᏆᏙ	[uhsgwado] /rrd/
Red buckeye	ᏧᏆᏆ	[tsuːgwaːgwa] /rrd/
Red earthworms	ᎤᏂᏥᏯ	[unitsiyaː] /rrd/
Red fox	ᏧᎳ ᎩᎦᎨ	[tsuːla giːgage] /rrd/
Red horsemint	ᏩᎴᎷ ᎤᏂᏣᎩᏍᏗ	[waleːlu unitsagiːsdi] /rrd/
Red maple	ᎩᎦᎨᏨᏩᎩ	[gigageːtsvːhwagi] /rrd/
Red mulberry	ᎫᏩ	[kuːwa] /rrd/
Red oak	ᎫᎴᏧᎾᏍᏗ	[guːletsuːnsdi] /rrd/
Red-eyed vireo	ᏧᏕᏒᎾᎵ	[tsudeːsvnaːli] /rrd/
Red-headed woodpecker	ᏓᎳᎳ	[dalaːla] /rrd/
Red-tailed hawk	ᏔᏬᏗ ᎡᏆ	[tawoːdʔ eːgwa] /rrd/
Redhorse	ᎣᎵᎦ	[oːliga] /rrd/
Reflecting	ᎤᏔᎷᎩᎠ	[uːhtalúːgiʔa] /rrd/
Refrigerator	ᎠᏴᏣᏗᏍᏗᏍᎩ	[ahyvːtsadʔisdihsgi] /rrd/
Refusing to give it	ᎠᎨᏯᏗᎭ	[ageːhydiha] /rrd/
Remembering it	ᎤᏅᏓᎭ	[uːhndaha] /rrd/
Removing it from a shelf	ᎠᏌᎩᎠ	[aːhsagiʔa] (something solid) /rrd/
Removing it from a shelf.	ᎠᏏᎭ	[ahsiha] (something long) /rrd/
Removing it from something	ᎦᎵᏏᎭ	[galiːsiha] (something long) /rrd/
Removing it from something	ᎦᎳᎩᎠ	[galagiʔa] (something solid).He is removing it from something (something long).He is removing it from something (something flexible) /rrd/
Removing liquid from a container	ᎠᎫᎩᎠ	[akuːgiːʔa] /rrd/
Removing, taking it down from a raised surface or shelf	ᎠᎩᎵᎩᎠ	[akiliːgiːʔa] (something alive) /rrd/
Requesting	ᎠᏔᏲᎯᎭ	[ahtayohiha] /rrd/
Residing	ᎦᏁᎳ	[ganela] /rrd/
Residing, lives in	ᎦᎾᎩᎳ	[ganagila] (a place) /rrd/
Responsible for or to	ᎤᏚᏓᎳ	[uːdúːdaʔla] /rrd/
Resting	ᎤᏯᏪᏐᎵᎭ	[uːyawéːsohliha] /rrd/
Returning	ᎢᎦᎷᎦ	[íːgaluhga] /rrd/
Returning an animal	ᎠᎧᏂ	[akahni] /rrd/
Rheum rhaponticum	ᏧᏂᏦᏴᏍᏗ	[tsuːhnitsoːhysdi] /rrd/
Rheumatism	ᏗᏙᎴᏍᎩ	[didoːleːsgi] /rrd/
Rheumatism root	ᎠᏨᎩ ᎢᎾᎨ ᎡᎯ	[ahtsvːgi inageː ehi] /rrd/
Rhinoceros	ᏣᏃᏏ	[tsaːnoːsi] /rrd/
Rhododendron	ᏚᏐᎦ ᏨᏁᏆ	[dusoːg tsvneːgwa] /rrd/
Rhododendron ferrugineum L	ᏚᏐᎦ ᏨᏁᏆ	[dusoːg tsvneːgwa] /rrd/
Rhus spp	ᏆᎶᎦ	[gwaːloːga] /rrd/
Rib	ᎠᏄᎳᏥᏴᎢ	[anulaːtsiyvʔi] (his) /rrd/
Ribbon	ᎠᏇᎷᏍᏗ	[agweːhluːsdi] /rrd/
Rice	ᎦᏃᎮᎾ	[ganoheːna] /rrd/
Rich	ᎤᏪᏅᎦ	[uːwéhnvːga] (becoming) /rrd/
Ridiculing	ᏛᏐᏨᏤᎭ	[dvːsotsvːtsheːha] /rrd/
Ridiculing him	ᎠᏙᏥᏗᎭ	[adóːtsdiha] /rrd/
Rifle	ᎦᎶᏇ	[galogwe] /rrd/
Right	ᎠᏘᏍᎩ	[atiːsgi] (his) /rrd/
Right-handedness	ᎠᏘᏍᎩ	[atiːsgi] /rrd/
Ring	ᎤᎵᏰᏑᏍᏓᏬ	[uːliyehsuhsdawo] (his) /rrd/
Ringing it	ᎦᏃᏴᎮᏍᏗᎭ	[gaːhnoyv́hesdiha] (like a bell) /rrd/
Riparia riparia	ᏦᏯᎦ	[tsoːyaga] /rrd/
Ripping it	ᎠᎵᎬᎩᎠ	[aligvːgiʔa] /rrd/
Rising from sitting	ᏓᎴᎲᏍᎦ	[daːleːhvːsga] /rrd/
River	ᎠᎹᏱ	[amaːyi] /rrd/
River	ᎡᏉᏂ	[eːgwoːni] /rrd/
River	ᏂᎳᏛᏱ	[nildvːyi] (small) /rrd/
River birch	ᎦᏁᏗᏍᎩ	[ganeːdísgi] /rrd/
River cane	ᎢᏯ	[iːhya] /rrd/
Road	ᎦᏅᏅ	[ganvːhnv] /rrd/
Road	ᏅᏃᎯ	[nvːnohi] /rrd/
Roasting it	ᎠᏒᎾᏔᏍᎦ	[ahsvːnatahsga] /rrd/
Robbing him	ᎦᏅᏌᎲᏍᎦ	[ganhsahv̌ːhsga] /rrd/
Robbinsville	ᏥᏲᎯ	[tsiːyohi] /rrd/
Robin	ᏥᏍᏉᏉ	[tsiːsgwoːgwo] /rrd/
Robinia pseudoacacia	ᎧᎶᏇᏗ	[kalogweːhdi] /rrd/
Rock	ᏅᏯ	[nvːya] /rrd/
Rock armor	ᏅᏯ ᎤᏄᏬ	[nvʔya uːhnuwo] /rrd/
Rock maple	ᏧᏩᎩ	[tsuːwaːgi] /rrd/
Rock shelter	ᎤᏍᏓᎦᎸᎢ	[usdaːgalvːʔi] /rrd/
Rocking a chair	ᏓᎵᎷᎨᏍᎦ	[daːhlilukeːsga] /rrd/
Rocky	ᏅᏲᎯ	[nvʔyohi] /rrd/
Rolling	ᎠᎾᏓᏌᏆᎴᎯᎭ	[anadahsagwaléːhiha] (they are) /rrd/
Rolling along	ᎠᏓᏌᏆᎴᎵ	[adahsagwaléhli] /rrd/
Rolling it	ᎠᏌᏆᎴᎭ	[ashagwáhleha] /rrd/
Rolling it along	ᎠᏌᏆᎴᎵ	[ashagwaleːhli] /rrd/
Rolling it around	ᎠᏌᏆᎴᏍᎦ	[ahsagwalehsga] /rrd/
Rolling or skidding logs downhill	ᎠᏳᏲᎰᏍᎦ	[aːyuːyohohsga] /rrd/
Rolling or skidding logs downhill	ᏕᎦᏳᏲᎰᎾᏗᎭ	[deːgayuːyoːhoːhndiha] /rrd/
Roof	ᎦᏒᎾᎵ	[gaːsvnaːli] /rrd/
Roofing a house	ᎧᎵᏦᏔᏍᎦ	[kaltsoːtǎːhsga] /rrd/
Rooster	ᎠᏨᏯᎢ	[atsvːyaʔi] /rrd/
Root	ᎤᎾᏍᏕᏥ	[unasdeːtsi] /rrd/
Rope	ᏍᏕᏯᏗ	[sdeːyaːdi] /rrd/
Rose twisted stalk	ᏧᎯᏥᏆ	[tsuːhiːtsgwa] /rrd/
Rose-breasted grosbeak	ᎦᏴᏍᏆᎴᏅ	[gayvːsgwaleːnv] /rrd/
Rough	ᎤᏓᏣᎧᏗ	[udaːtsakdi] /rrd/
Rubber, pitch, gum	ᎠᏣᎯ	[aːtsahi] /rrd/
Rubus spp	ᏄᎦᎵ	[nuːgaːhli] /rrd/
Rubus spp	ᏌᎶᎵ ᎠᎦᏔ	[saloːli akta] /rrd/
Rubus spp	ᏒᏗᏩᎵ	[svːdiwaʔli] /rrd/
Rudbeckia hirta	ᏐᏤᎾ	[soːtseːna] /rrd/
Ruffed grouse	ᏛᏗᏍᏗ	[tvːdisdi] /rrd/
Ruined	ᎠᏲᎦ	[ayoːga] (becoming) /rrd/
Ruining it	ᎠᏲᏍᏗᎭ	[ayóːsdiha] /rrd/
Ruler	ᎠᏥᎶᏍᏗ	[atsiloːsdi] /rrd/
Ruler	ᎤᎬᏫᏳᎯ	[uːgvːwiyuhi] /rrd/
Rumex crispus	ᏓᎦᎩ	[daːgki] /rrd/
Running	ᏓᏍᏆᎵᏗᎭ	[daːsgwaːhldiha] /rrd/
